exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;tp_0;fp_0;tn_0;fn_0;init_test_val;tp_0;fp_0;tn_0;fn_0;new_train_val;tp_0;fp_0;tn_0;fn_0;new_test_val;tp_0;fp_0;tn_0;fn_0;
sel;accuracy;2;false;false;strengthening;6;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
sel;accuracy;3;false;false;strengthening;6;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
sel;random;0;false;false;alteration;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.06453759148369927;0;1406;97;0;0.06453759148369927;0;1406;97;0;
sel;accuracy;0;false;false;alteration;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.6227544910179641;0;567;936;0;0.6227544910179641;0;567;936;0;
sel;accuracy;1;false;false;alteration;6;0.6227544910179641;0;567;936;0;0.6227544910179641;0;567;936;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
sel;accuracy;2;false;false;alteration;6;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
sel;accuracy;3;false;false;alteration;6;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
sel;random;0;false;false;weakening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;
sel;accuracy;0;false;false;weakening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;
sel;accuracy;1;false;false;weakening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;
sel;accuracy;2;false;false;weakening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;
sel;accuracy;3;false;false;weakening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;0.0;0;1501;0;0;
sel;random;0;false;false;strengthening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.48634243837441704;0;771;730;0;0.48634243837441704;0;771;730;0;
sel;accuracy;0;false;false;strengthening;7;0.0;0;1501;0;0;0.0;0;1501;0;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;7;0.0;0;1501;0;0;0.0;0;1501;0;0;0.5349766822118588;0;698;803;0;0.5349766822118588;0;698;803;0;
sel;accuracy;0;false;false;alteration;7;0.0;0;1501;0;0;0.0;0;1501;0;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;7;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.007994670219853431;0;1489;12;0;0.007994670219853431;0;1489;12;0;
sel;accuracy;0;false;false;weakening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;
sel;accuracy;1;false;false;weakening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;
sel;accuracy;2;false;false;weakening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;
sel;accuracy;3;false;false;weakening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;
sel;random;0;false;false;strengthening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.770819453697535;0;344;1157;0;0.770819453697535;0;344;1157;0;
sel;accuracy;0;false;false;strengthening;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;0.5103264490339774;0;735;766;0;0.5103264490339774;0;735;766;0;
sel;accuracy;0;false;false;alteration;8;0.08860759493670886;0;1368;133;0;0.08860759493670886;0;1368;133;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;8;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.0033311125916055963;0;1496;5;0;0.0033311125916055963;0;1496;5;0;
sel;accuracy;0;false;false;weakening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;
sel;accuracy;1;false;false;weakening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;
sel;accuracy;2;false;false;weakening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;
sel;accuracy;3;false;false;weakening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;
sel;random;0;false;false;strengthening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;0.4983344437041972;0;753;748;0;0.4983344437041972;0;753;748;0;
sel;accuracy;0;false;false;strengthening;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;0;false;false;alteration;9;0.09593604263824117;0;1357;144;0;0.09593604263824117;0;1357;144;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;9;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.009986684420772303;0;1487;15;0;0.009986684420772303;0;1487;15;0;
sel;accuracy;0;false;false;weakening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;
sel;accuracy;1;false;false;weakening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;
sel;accuracy;2;false;false;weakening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;
sel;accuracy;3;false;false;weakening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;
sel;random;0;false;false;strengthening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.49267643142476697;0;762;740;0;0.49267643142476697;0;762;740;0;
sel;accuracy;0;false;false;strengthening;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;strengthening;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;strengthening;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;strengthening;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;random;0;false;false;alteration;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;0.49267643142476697;0;762;740;0;0.49267643142476697;0;762;740;0;
sel;accuracy;0;false;false;alteration;10;0.09786950732356857;0;1355;147;0;0.09786950732356857;0;1355;147;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;alteration;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;alteration;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;alteration;10;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
