exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;accuracy;0;false;false;alteration;43;0.8231179213857428;1138;0;138;0;168;0;57;0;0.8231179213857428;1138;0;138;0;168;0;57;0;0.8644237175216523;1222;0;54;0;128;0;97;0;0.8644237175216523;1222;0;54;0;128;0;97;0;
sel;random;0;false;false;alteration;44;0.5119840213049267;765;7;0;0;729;1;0;0;0.5119840213049267;765;7;0;0;729;1;0;0;0.5136484687083889;762;10;0;0;721;9;0;0;0.5136484687083889;762;10;0;0;721;9;0;0;
sel;accuracy;0;false;false;alteration;44;0.5119840213049267;765;7;0;0;729;1;0;0;0.5119840213049267;765;7;0;0;729;1;0;0;0.5239680426098535;547;225;0;0;475;255;0;0;0.5239680426098535;547;225;0;0;475;255;0;0;
sel;random;0;false;false;alteration;45;0.6171770972037284;927;0;0;0;575;0;0;0;0.6171770972037284;927;0;0;0;575;0;0;0;0.8122503328894807;758;0;64;105;0;0;290;285;0.8122503328894807;758;0;64;105;0;0;290;285;
sel;accuracy;0;false;false;alteration;45;0.6171770972037284;927;0;0;0;575;0;0;0;0.6171770972037284;927;0;0;0;575;0;0;0;0.8122503328894807;758;0;64;105;0;0;290;285;0.8122503328894807;758;0;64;105;0;0;290;285;
sel;random;0;false;false;alteration;46;0.6155126498002663;892;0;40;0;545;0;25;0;0.6155126498002663;892;0;40;0;545;0;25;0;0.6205059920106525;932;0;0;0;570;0;0;0;0.6205059920106525;932;0;0;0;570;0;0;0;
sel;accuracy;0;false;false;alteration;46;0.6155126498002663;892;0;40;0;545;0;25;0;0.6155126498002663;892;0;40;0;545;0;25;0;0.6800932090545939;835;0;97;0;294;0;276;0;0.6800932090545939;835;0;97;0;294;0;276;0;
sel;random;0;false;false;alteration;47;0.9243837441705529;1323;3;126;1;48;0;0;0;0.9243837441705529;1323;3;126;1;48;0;0;0;0.7081945369753497;697;7;724;25;47;0;1;0;0.7081945369753497;697;7;724;25;47;0;1;0;
sel;accuracy;0;false;false;alteration;47;0.9243837441705529;1323;3;126;1;48;0;0;0;0.9243837441705529;1323;3;126;1;48;0;0;0;0.9663557628247834;1448;4;1;0;48;0;0;0;0.9663557628247834;1448;4;1;0;48;0;0;0;
sel;random;0;false;false;alteration;48;0.9051264980026631;1242;3;231;0;25;0;1;0;0.9051264980026631;1242;3;231;0;25;0;1;0;0.9793608521970706;1466;10;0;0;26;0;0;0;0.9793608521970706;1466;10;0;0;26;0;0;0;
sel;accuracy;0;false;false;alteration;48;0.9051264980026631;1242;3;231;0;25;0;1;0;0.9051264980026631;1242;3;231;0;25;0;1;0;0.9816910785619175;1473;3;0;0;26;0;0;0;0.9816910785619175;1473;3;0;0;26;0;0;0;
sel;random;0;false;false;alteration;49;0.06158455392809587;4;0;0;0;1321;12;165;0;0.06158455392809587;4;0;0;0;1321;12;165;0;0.06424766977363516;4;0;0;0;1315;65;116;2;0.06424766977363516;4;0;0;0;1315;65;116;2;
sel;accuracy;0;false;false;alteration;49;0.06158455392809587;4;0;0;0;1321;12;165;0;0.06158455392809587;4;0;0;0;1321;12;165;0;0.9946737683089215;0;0;0;4;0;0;8;1490;0.9946737683089215;0;0;0;4;0;0;8;1490;
sel;random;0;false;false;alteration;50;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;
sel;accuracy;0;false;false;alteration;50;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;0.6251664447403462;939;0;0;0;563;0;0;0;
sel;random;0;false;false;alteration;51;0.08827448367754831;5;0;4;0;1244;37;208;3;0.08827448367754831;5;0;4;0;1244;37;208;3;0.7205196535642905;5;0;3;1;65;679;25;723;0.7205196535642905;5;0;3;1;65;679;25;723;
sel;accuracy;0;false;false;alteration;51;0.08827448367754831;5;0;4;0;1244;37;208;3;0.08827448367754831;5;0;4;0;1244;37;208;3;0.9873417721518987;0;0;4;5;0;0;24;1468;0.9873417721518987;0;0;4;5;0;0;24;1468;
sel;random;0;false;false;alteration;52;0.9324234354194407;1351;1;84;0;52;0;14;0;0.9324234354194407;1351;1;84;0;52;0;14;0;0.9513981358189081;1407;10;19;0;51;4;11;0;0.9513981358189081;1407;10;19;0;51;4;11;0;
sel;accuracy;0;false;false;alteration;52;0.9324234354194407;1351;1;84;0;52;0;14;0;0.9324234354194407;1351;1;84;0;52;0;14;0;0.9563914780292944;1433;1;2;0;62;0;4;0;0.9563914780292944;1433;1;2;0;62;0;4;0;
sel;random;0;false;false;alteration;53;0.6209193870752832;932;0;0;0;569;0;0;0;0.6209193870752832;932;0;0;0;569;0;0;0;0.6235842771485676;923;9;0;0;552;17;0;0;0.6235842771485676;923;9;0;0;552;17;0;0;
sel;accuracy;0;false;false;alteration;53;0.6209193870752832;932;0;0;0;569;0;0;0;0.6209193870752832;932;0;0;0;569;0;0;0;0.6895403064623584;828;104;0;0;259;310;0;0;0.6895403064623584;828;104;0;0;259;310;0;0;
sel;random;0;false;false;alteration;54;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;
sel;accuracy;0;false;false;alteration;54;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;0.6042638241172552;907;0;0;0;594;0;0;0;
